# J S K mF XI Energy_MHz
2 -1 +0.0 -0.5 4 3100077.00268118
2 -1 +0.0 +0.5 4 3100077.01208263
3 +1 +1.0 +3.5 1 3333203.20564520
3 +1 +1.0 +2.5 1 3333203.20927895
3 +1 +1.0 +1.5 1 3333203.21297811
3 +1 +1.0 +0.5 1 3333203.21675112
3 +1 +1.0 -0.5 1 3333203.22060838
3 +1 +1.0 -1.5 1 3333203.22456298
3 +1 +1.0 -2.5 1 3333203.22863183
3 +1 +1.0 -3.5 1 3333203.23283737
3 +1 +1.0 +2.5 2 3333203.29653372
3 +1 +1.0 +1.5 2 3333203.29678932
3 +1 +1.0 -2.5 2 3333203.29695464
3 +1 +1.0 +0.5 2 3333203.29697107
3 +1 +1.0 -0.5 2 3333203.29706858
3 +1 +1.0 -1.5 2 3333203.29706873
3 +1 +0.0 +4.5 1 3475316.71381735
3 +1 +0.0 +3.5 1 3475316.71985724
3 +1 +0.0 +2.5 1 3475316.72598319
3 +1 +0.0 +1.5 1 3475316.73219915
3 +1 +0.0 +0.5 1 3475316.73850912
3 +1 +0.0 -0.5 1 3475316.74491714
3 +1 +0.0 -1.5 1 3475316.75142715
3 +1 +0.0 -2.5 1 3475316.75804293
3 +1 +0.0 -3.5 1 3475316.76476797
3 +1 +0.0 -4.5 1 3475316.77160535
3 +1 +0.0 +3.5 2 3475316.82435174
3 +1 +0.0 +2.5 2 3475316.82882870
3 +1 +0.0 +1.5 2 3475316.83347926
3 +1 +0.0 +0.5 2 3475316.83833045
3 +1 +0.0 -0.5 2 3475316.84341418
3 +1 +0.0 -1.5 2 3475316.84876688
3 +1 +0.0 -2.5 2 3475316.85442703
3 +1 +0.0 -3.5 2 3475316.86042645
3 +1 +0.0 +2.5 3 3475316.91430100
3 +1 +0.0 +1.5 3 3475316.91568547
3 +1 +0.0 +0.5 3 3475316.91730081
3 +1 +0.0 -0.5 3 3475316.91929934
3 +1 +0.0 -1.5 3 3475316.92199600
3 +1 +0.0 -2.5 3 3475316.92623525
3 +1 +0.0 -1.5 4 3475316.96788571
3 +1 +0.0 -0.5 4 3475316.97457553
3 +1 +0.0 +0.5 4 3475316.98019624
3 +1 +0.0 +1.5 4 3475316.98510320
3 -1 +3.0 +4.5 1 3856958.40664299
3 -1 +3.0 +3.5 1 3856958.41274781
3 -1 +3.0 +2.5 1 3856958.41893763
3 -1 +3.0 +1.5 1 3856958.42521632
3 -1 +3.0 +0.5 1 3856958.43158781
3 -1 +3.0 -0.5 1 3856958.43805604
3 -1 +3.0 -1.5 1 3856958.44462487
3 -1 +3.0 -2.5 1 3856958.45129801
3 -1 +3.0 -3.5 1 3856958.45807888
3 -1 +3.0 -4.5 1 3856958.46497052
3 -1 +3.0 +3.5 2 3856958.51720237
3 -1 +3.0 +2.5 2 3856958.52175627
3 -1 +3.0 +1.5 2 3856958.52648191
3 -1 +3.0 +0.5 2 3856958.53140587
3 -1 +3.0 -0.5 2 3856958.53655941
3 -1 +3.0 -1.5 2 3856958.54197823
3 -1 +3.0 -2.5 2 3856958.54770000
3 -1 +3.0 -3.5 2 3856958.55375595
