Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 60 3 1 +3.0 +1.5 2 255 4 1 +3.0 +2.5 3 -2.07895339e-06 0.00000000e+00
sigma+ 184 3 -1 +3.0 +1.5 2 359 4 -1 +3.0 +2.5 3 2.07895336e-06 0.00000000e+00
sigma+ 57 3 1 +3.0 -4.5 1 252 4 1 +3.0 -3.5 2 2.07233293e-06 0.00000000e+00
sigma+ 181 3 -1 +3.0 -4.5 1 356 4 -1 +3.0 -3.5 2 2.07233292e-06 0.00000000e+00
sigma+ 161 3 1 +0.0 -3.5 2 160 3 1 +0.0 -2.5 2 -2.07072421e-06 0.00000000e+00
sigma+ 9 1 1 +0.0 -0.5 1 157 3 1 +0.0 +0.5 2 -2.06719011e-06 0.00000000e+00
sigma+ 181 3 -1 +3.0 -4.5 1 345 4 -1 +3.0 -3.5 1 2.05977385e-06 0.00000000e+00
sigma+ 57 3 1 +3.0 -4.5 1 241 4 1 +3.0 -3.5 1 2.05977383e-06 0.00000000e+00
sigma+ 378 4 -1 +2.0 -1.5 1 222 3 -1 +2.0 -0.5 1 2.05714454e-06 8.02272923e-21
sigma+ 306 4 1 +2.0 -1.5 1 90 3 1 +2.0 -0.5 1 -2.05714454e-06 4.03388696e-21
sigma+ 337 4 -1 +3.0 +4.5 1 336 4 -1 +3.0 +5.5 1 2.05362318e-06 0.00000000e+00
sigma+ 233 4 1 +3.0 +4.5 1 232 4 1 +3.0 +5.5 1 2.05362316e-06 0.00000000e+00
sigma+ 195 3 -1 +3.0 -2.5 3 363 4 -1 +3.0 -1.5 3 2.04870340e-06 0.00000000e+00
sigma+ 71 3 1 +3.0 -2.5 3 259 4 1 +3.0 -1.5 3 2.04870337e-06 0.00000000e+00
sigma+ 195 3 -1 +3.0 -2.5 3 187 3 -1 +3.0 -1.5 2 -2.04346594e-06 0.00000000e+00
sigma+ 71 3 1 +3.0 -2.5 3 63 3 1 +3.0 -1.5 2 2.04346589e-06 0.00000000e+00
sigma+ 121 2 -1 +0.0 -0.5 2 125 2 -1 +0.0 +0.5 3 2.03857068e-06 0.00000000e+00
sigma+ 13 1 1 +0.0 +0.5 2 12 1 1 +0.0 +1.5 2 2.03451645e-06 0.00000000e+00
sigma+ 74 3 1 +3.0 +0.5 4 256 4 1 +3.0 +1.5 3 2.03003394e-06 0.00000000e+00
sigma+ 198 3 -1 +3.0 +0.5 4 360 4 -1 +3.0 +1.5 3 -2.03003393e-06 0.00000000e+00
sigma+ 128 2 -1 +0.0 -0.5 4 129 2 -1 +0.0 +0.5 4 2.02385911e-06 0.00000000e+00
sigma+ 419 4 -1 +0.0 -5.5 1 418 4 -1 +0.0 -4.5 1 -2.02062674e-06 0.00000000e+00
sigma+ 186 3 -1 +3.0 -0.5 2 176 3 -1 +3.0 +0.5 1 2.01970261e-06 0.00000000e+00
sigma+ 62 3 1 +3.0 -0.5 2 52 3 1 +3.0 +0.5 1 2.01970260e-06 0.00000000e+00
sigma+ 103 2 -1 +1.0 -0.5 1 47 1 -1 +1.0 +0.5 2 2.01588451e-06 -5.04872149e-24
sigma+ 35 2 1 +1.0 -0.5 1 5 1 1 +1.0 +0.5 2 -6.02511141e-24 2.01588447e-06
sigma+ 135 3 1 +1.0 -1.5 1 323 4 1 +1.0 -0.5 1 2.01471377e-06 -1.67458821e-23
sigma+ 273 3 -1 +1.0 -1.5 1 395 4 -1 +1.0 -0.5 1 -2.01471377e-06 1.77712382e-37
sigma+ 143 3 1 +1.0 -1.5 2 332 4 1 +1.0 -0.5 2 2.01212208e-06 -1.47129585e-23
sigma+ 281 3 -1 +1.0 -1.5 2 404 4 -1 +1.0 -0.5 2 -2.01211183e-06 2.15688993e-32
sigma+ 394 4 -1 +1.0 +0.5 1 270 3 -1 +1.0 +1.5 1 -2.01009964e-06 2.31437017e-20
sigma+ 322 4 1 +1.0 +0.5 1 132 3 1 +1.0 +1.5 1 -8.45778433e-24 -2.01009964e-06
sigma+ 127 2 -1 +0.0 -1.5 3 121 2 -1 +0.0 -0.5 2 2.00914413e-06 0.00000000e+00
sigma+ 188 3 -1 +3.0 -2.5 2 178 3 -1 +3.0 -1.5 1 -2.00689896e-06 0.00000000e+00
sigma+ 64 3 1 +3.0 -2.5 2 54 3 1 +3.0 -1.5 1 -2.00689895e-06 0.00000000e+00
sigma+ 157 3 1 +0.0 +0.5 2 163 3 1 +0.0 +1.5 3 2.00674924e-06 0.00000000e+00
sigma+ 403 4 -1 +1.0 +0.5 2 277 3 -1 +1.0 +1.5 2 2.00181026e-06 -1.22313497e-18
sigma+ 331 4 1 +1.0 +0.5 2 139 3 1 +1.0 +1.5 2 -4.45194017e-24 -2.00181026e-06
sigma+ 165 3 1 +0.0 -0.5 3 170 3 1 +0.0 +0.5 4 1.99974583e-06 0.00000000e+00
sigma+ 199 3 -1 +3.0 +1.5 4 359 4 -1 +3.0 +2.5 3 -1.98625301e-06 0.00000000e+00
sigma+ 75 3 1 +3.0 +1.5 4 255 4 1 +3.0 +2.5 3 1.98625292e-06 0.00000000e+00
sigma+ 106 2 -1 +1.0 -1.5 2 404 4 -1 +1.0 -0.5 2 1.98367492e-06 -5.09861842e-21
sigma+ 38 2 1 +1.0 -1.5 2 332 4 1 +1.0 -0.5 2 -1.50611690e-23 -1.98367492e-06
sigma+ 54 3 1 +3.0 -1.5 1 53 3 1 +3.0 -0.5 1 1.98295520e-06 0.00000000e+00
sigma+ 178 3 -1 +3.0 -1.5 1 177 3 -1 +3.0 -0.5 1 -1.98295519e-06 0.00000000e+00
sigma+ 68 3 1 +3.0 +0.5 3 247 4 1 +3.0 +1.5 2 -1.98217641e-06 0.00000000e+00
sigma+ 192 3 -1 +3.0 +0.5 3 351 4 -1 +3.0 +1.5 2 -1.98217638e-06 0.00000000e+00
sigma+ 412 4 -1 +0.0 +1.5 1 111 2 -1 +0.0 +2.5 1 1.97762993e-06 0.00000000e+00
sigma+ 10 1 1 +0.0 -1.5 1 9 1 1 +0.0 -0.5 1 -1.97024283e-06 0.00000000e+00
sigma+ 51 3 1 +3.0 +1.5 1 59 3 1 +3.0 +2.5 2 1.96683922e-06 0.00000000e+00
sigma+ 175 3 -1 +3.0 +1.5 1 183 3 -1 +3.0 +2.5 2 1.96683921e-06 0.00000000e+00
sigma+ 165 3 1 +0.0 -0.5 3 157 3 1 +0.0 +0.5 2 1.96105464e-06 0.00000000e+00
sigma+ 105 2 -1 +1.0 -2.5 1 273 3 -1 +1.0 -1.5 1 -1.95867902e-06 3.70206548e-25
sigma+ 37 2 1 +1.0 -2.5 1 135 3 1 +1.0 -1.5 1 -5.78850775e-21 1.95867900e-06
sigma+ 66 3 1 +3.0 +2.5 3 245 4 1 +3.0 +3.5 2 1.95554672e-06 0.00000000e+00
sigma+ 190 3 -1 +3.0 +2.5 3 349 4 -1 +3.0 +3.5 2 -1.95554664e-06 0.00000000e+00
sigma+ 60 3 1 +3.0 +1.5 2 66 3 1 +3.0 +2.5 3 1.95449501e-06 0.00000000e+00
sigma+ 184 3 -1 +3.0 +1.5 2 190 3 -1 +3.0 +2.5 3 -1.95449496e-06 0.00000000e+00
sigma+ 168 3 1 +0.0 -1.5 4 169 3 1 +0.0 -0.5 4 -1.95252346e-06 0.00000000e+00
sigma+ 439 4 -1 +0.0 -1.5 4 126 2 -1 +0.0 -0.5 3 -1.94913389e-06 0.00000000e+00
sigma+ 171 3 1 +0.0 +1.5 4 162 3 1 +0.0 +2.5 3 -1.94248641e-06 0.00000000e+00
sigma+ 441 4 -1 +0.0 +0.5 4 124 2 -1 +0.0 +1.5 3 -1.93379928e-06 0.00000000e+00
sigma+ 65 3 1 +3.0 -3.5 2 251 4 1 +3.0 -2.5 2 -1.92953103e-06 0.00000000e+00
sigma+ 189 3 -1 +3.0 -3.5 2 355 4 -1 +3.0 -2.5 2 1.92953098e-06 0.00000000e+00
sigma+ 33 2 1 +1.0 +1.5 1 32 2 1 +1.0 +2.5 1 -1.92747599e-06 0.00000000e+00
sigma+ 101 2 -1 +1.0 +1.5 1 100 2 -1 +1.0 +2.5 1 8.86393208e-24 1.92747599e-06
sigma+ 380 4 -1 +2.0 -3.5 1 224 3 -1 +2.0 -2.5 1 -1.92722989e-06 -5.39379534e-24
sigma+ 308 4 1 +2.0 -3.5 1 92 3 1 +2.0 -2.5 1 -1.92722986e-06 -5.39379540e-24
sigma+ 246 4 1 +3.0 +2.5 2 49 3 1 +3.0 +3.5 1 -1.92501060e-06 0.00000000e+00
sigma+ 350 4 -1 +3.0 +2.5 2 173 3 -1 +3.0 +3.5 1 1.92501057e-06 0.00000000e+00
sigma+ 442 4 -1 +0.0 +1.5 4 443 4 -1 +0.0 +2.5 4 1.92370978e-06 0.00000000e+00
sigma+ 242 4 1 +3.0 -4.5 1 241 4 1 +3.0 -3.5 1 -1.92055608e-06 0.00000000e+00
sigma+ 346 4 -1 +3.0 -4.5 1 345 4 -1 +3.0 -3.5 1 -1.92055607e-06 0.00000000e+00
sigma+ 17 1 1 +0.0 -0.5 3 164 3 1 +0.0 +0.5 3 -1.92010889e-06 0.00000000e+00
sigma+ 349 4 -1 +3.0 +3.5 2 172 3 -1 +3.0 +4.5 1 -1.91960266e-06 0.00000000e+00
sigma+ 245 4 1 +3.0 +3.5 2 48 3 1 +3.0 +4.5 1 1.91960263e-06 0.00000000e+00
sigma+ 410 4 -1 +0.0 +3.5 1 409 4 -1 +0.0 +4.5 1 1.91766011e-06 0.00000000e+00
sigma+ 4 1 1 +1.0 -0.5 2 1 1 1 +1.0 +0.5 1 2.66591887e-24 -1.91746317e-06
sigma+ 2 1 1 +1.0 -0.5 1 5 1 1 +1.0 +0.5 2 -2.94064857e-24 1.91746317e-06
sigma+ 46 1 -1 +1.0 -0.5 2 43 1 -1 +1.0 +0.5 1 -3.57683004e-24 1.91746317e-06
sigma+ 44 1 -1 +1.0 -0.5 1 47 1 -1 +1.0 +0.5 2 -3.41896278e-24 1.91746317e-06
sigma+ 387 4 -1 +2.0 -1.5 2 230 3 -1 +2.0 -0.5 2 -1.90794141e-06 5.74153255e-18
sigma+ 315 4 1 +2.0 -1.5 2 98 3 1 +2.0 -0.5 2 -1.90794140e-06 -2.87070837e-18
sigma+ 407 4 -1 +1.0 -3.5 2 406 4 -1 +1.0 -2.5 2 -1.90560751e-06 2.86930057e-24
sigma+ 335 4 1 +1.0 -3.5 2 334 4 1 +1.0 -2.5 2 1.32465392e-25 1.90560751e-06
sigma+ 344 4 -1 +3.0 -2.5 1 187 3 -1 +3.0 -1.5 2 1.90559232e-06 0.00000000e+00
sigma+ 240 4 1 +3.0 -2.5 1 63 3 1 +3.0 -1.5 2 1.90559229e-06 0.00000000e+00
sigma+ 156 3 1 +0.0 +1.5 2 6 1 1 +0.0 +2.5 1 1.90533372e-06 0.00000000e+00
sigma+ 339 4 -1 +3.0 +2.5 1 338 4 -1 +3.0 +3.5 1 1.90127183e-06 0.00000000e+00
sigma+ 235 4 1 +3.0 +2.5 1 234 4 1 +3.0 +3.5 1 -1.90127182e-06 0.00000000e+00
sigma+ 115 2 -1 +0.0 -1.5 1 114 2 -1 +0.0 -0.5 1 -1.90074574e-06 0.00000000e+00
sigma+ 119 2 -1 +0.0 +1.5 2 118 2 -1 +0.0 +2.5 2 -1.89782634e-06 0.00000000e+00
sigma+ 321 4 1 +1.0 +1.5 1 131 3 1 +1.0 +2.5 1 1.10859483e-23 -1.88638204e-06
sigma+ 393 4 -1 +1.0 +1.5 1 269 3 -1 +1.0 +2.5 1 1.88638203e-06 -5.67669841e-25
sigma+ 241 4 1 +3.0 -3.5 1 64 3 1 +3.0 -2.5 2 1.88322104e-06 0.00000000e+00
sigma+ 345 4 -1 +3.0 -3.5 1 188 3 -1 +3.0 -2.5 2 -1.88322104e-06 0.00000000e+00
sigma+ 255 4 1 +3.0 +2.5 3 254 4 1 +3.0 +3.5 3 1.87849362e-06 0.00000000e+00
sigma+ 359 4 -1 +3.0 +2.5 3 358 4 -1 +3.0 +3.5 3 1.87849360e-06 0.00000000e+00
sigma+ 398 4 -1 +1.0 -3.5 1 397 4 -1 +1.0 -2.5 1 -1.87817526e-06 3.22647963e-24
sigma+ 326 4 1 +1.0 -3.5 1 325 4 1 +1.0 -2.5 1 5.29042675e-25 1.87817526e-06
sigma+ 82 2 -1 +2.0 -1.5 2 79 2 -1 +2.0 -0.5 1 1.99867413e-24 1.87753761e-06
sigma+ 24 2 1 +2.0 -1.5 2 21 2 1 +2.0 -0.5 1 -1.99867415e-24 -1.87753760e-06
sigma+ 194 3 -1 +3.0 -1.5 3 193 3 -1 +3.0 -0.5 3 1.87683947e-06 0.00000000e+00
sigma+ 70 3 1 +3.0 -1.5 3 69 3 1 +3.0 -0.5 3 -1.87683944e-06 0.00000000e+00
sigma+ 50 3 1 +3.0 +2.5 1 245 4 1 +3.0 +3.5 2 -1.87636817e-06 0.00000000e+00
sigma+ 174 3 -1 +3.0 +2.5 1 349 4 -1 +3.0 +3.5 2 1.87636815e-06 0.00000000e+00
sigma+ 349 4 -1 +3.0 +3.5 2 348 4 -1 +3.0 +4.5 2 -1.87597475e-06 0.00000000e+00
sigma+ 245 4 1 +3.0 +3.5 2 244 4 1 +3.0 +4.5 2 1.87597475e-06 0.00000000e+00
sigma+ 141 3 1 +1.0 +0.5 2 139 3 1 +1.0 +1.5 2 -1.86869905e-06 -2.28251541e-23
sigma+ 279 3 -1 +1.0 +0.5 2 277 3 -1 +1.0 +1.5 2 -3.75578611e-18 -1.86869905e-06
sigma+ 173 3 -1 +3.0 +3.5 1 348 4 -1 +3.0 +4.5 2 1.86854849e-06 0.00000000e+00
sigma+ 49 3 1 +3.0 +3.5 1 244 4 1 +3.0 +4.5 2 1.86854848e-06 0.00000000e+00
sigma+ 29 0 -1 +0.0 +0.5 1 119 2 -1 +0.0 +1.5 2 1.86568744e-06 0.00000000e+00
sigma+ 409 4 -1 +0.0 +4.5 1 408 4 -1 +0.0 +5.5 1 -1.85408740e-06 0.00000000e+00
sigma+ 224 3 -1 +2.0 -2.5 1 82 2 -1 +2.0 -1.5 2 -1.85326399e-06 4.68036965e-40
sigma+ 92 3 1 +2.0 -2.5 1 24 2 1 +2.0 -1.5 2 -1.85326393e-06 4.77543981e-40
sigma+ 428 4 -1 +0.0 -3.5 2 427 4 -1 +0.0 -2.5 2 1.85306923e-06 0.00000000e+00
sigma+ 350 4 -1 +3.0 +2.5 2 349 4 -1 +3.0 +3.5 2 -1.85175842e-06 0.00000000e+00
sigma+ 246 4 1 +3.0 +2.5 2 245 4 1 +3.0 +3.5 2 -1.85175841e-06 0.00000000e+00
sigma+ 249 4 1 +3.0 -0.5 2 68 3 1 +3.0 +0.5 3 -1.84982556e-06 0.00000000e+00
sigma+ 353 4 -1 +3.0 -0.5 2 192 3 -1 +3.0 +0.5 3 -1.84982553e-06 0.00000000e+00
sigma+ 43 1 -1 +1.0 +0.5 1 42 1 -1 +1.0 +1.5 1 -1.84629030e-06 3.61213620e-24
sigma+ 1 1 1 +1.0 +0.5 1 0 1 1 +1.0 +1.5 1 -1.84629030e-06 2.27447640e-24
sigma+ 126 2 -1 +0.0 -0.5 3 29 0 -1 +0.0 +0.5 1 1.84461914e-06 0.00000000e+00
sigma+ 272 3 -1 +1.0 -0.5 1 394 4 -1 +1.0 +0.5 1 1.83698030e-06 5.23287370e-24
sigma+ 134 3 1 +1.0 -0.5 1 322 4 1 +1.0 +0.5 1 -1.82334490e-23 1.83698030e-06
sigma+ 404 4 -1 +1.0 -0.5 2 279 3 -1 +1.0 +0.5 2 -1.33807729e-18 1.83553613e-06
sigma+ 332 4 1 +1.0 -0.5 2 141 3 1 +1.0 +0.5 2 1.55765640e-24 -1.83553612e-06
sigma+ 95 3 1 +2.0 +1.5 2 18 2 1 +2.0 +2.5 1 1.83382655e-06 -1.32092829e-24
sigma+ 227 3 -1 +2.0 +1.5 2 76 2 -1 +2.0 +2.5 1 -7.40214871e-24 1.83382651e-06
sigma+ 424 4 -1 +0.0 +0.5 2 112 2 -1 +0.0 +1.5 1 1.83353880e-06 0.00000000e+00
sigma+ 53 3 1 +3.0 -0.5 1 61 3 1 +3.0 +0.5 2 -1.83275312e-06 0.00000000e+00
sigma+ 177 3 -1 +3.0 -0.5 1 185 3 -1 +3.0 +0.5 2 1.83275311e-06 0.00000000e+00
sigma+ 274 3 -1 +1.0 -2.5 1 396 4 -1 +1.0 -1.5 1 1.97322964e-24 -1.82982357e-06
sigma+ 136 3 1 +1.0 -2.5 1 324 4 1 +1.0 -1.5 1 -6.83032517e-24 1.82982356e-06
sigma+ 112 2 -1 +0.0 +1.5 1 118 2 -1 +0.0 +2.5 2 1.82892767e-06 0.00000000e+00
sigma+ 15 1 1 +0.0 -1.5 2 17 1 1 +0.0 -0.5 3 -1.82537793e-06 0.00000000e+00
sigma+ 223 3 -1 +2.0 -1.5 1 83 2 -1 +2.0 -0.5 2 -1.59970226e-23 1.82509987e-06
sigma+ 91 3 1 +2.0 -1.5 1 25 2 1 +2.0 -0.5 2 -1.54555459e-23 1.82509987e-06
sigma+ 114 2 -1 +0.0 -0.5 1 120 2 -1 +0.0 +0.5 2 1.82107389e-06 0.00000000e+00
sigma+ 169 3 1 +0.0 -0.5 4 164 3 1 +0.0 +0.5 3 1.81884980e-06 0.00000000e+00
sigma+ 252 4 1 +3.0 -3.5 2 64 3 1 +3.0 -2.5 2 -1.81312027e-06 0.00000000e+00
sigma+ 356 4 -1 +3.0 -3.5 2 188 3 -1 +3.0 -2.5 2 1.81312026e-06 0.00000000e+00
sigma+ 369 4 -1 +3.0 +0.5 4 191 3 -1 +3.0 +1.5 3 1.80200172e-06 0.00000000e+00
sigma+ 265 4 1 +3.0 +0.5 4 67 3 1 +3.0 +1.5 3 -1.80200170e-06 0.00000000e+00
sigma+ 327 4 1 +1.0 -4.5 1 326 4 1 +1.0 -3.5 1 -6.08245823e-24 -1.79738112e-06
sigma+ 399 4 -1 +1.0 -4.5 1 398 4 -1 +1.0 -3.5 1 1.79738112e-06 -2.40332183e-24
sigma+ 108 2 -1 +1.0 +0.5 2 109 2 -1 +1.0 +1.5 2 -1.78954842e-06 -7.50824681e-24
sigma+ 40 2 1 +1.0 +0.5 2 41 2 1 +1.0 +1.5 2 5.71051080e-25 1.78954842e-06
sigma+ 123 2 -1 +0.0 -2.5 2 435 4 -1 +0.0 -1.5 3 1.78905982e-06 0.00000000e+00
sigma+ 158 3 1 +0.0 -0.5 2 164 3 1 +0.0 +0.5 3 1.78721481e-06 0.00000000e+00
sigma+ 142 3 1 +1.0 -0.5 2 331 4 1 +1.0 +0.5 2 1.64539872e-23 -1.77428875e-06
sigma+ 280 3 -1 +1.0 -0.5 2 403 4 -1 +1.0 +0.5 2 -1.77427972e-06 -6.88954859e-24
sigma+ 133 3 1 +1.0 +0.5 1 0 1 1 +1.0 +1.5 1 0.00000000e+00 -1.77354872e-06
sigma+ 271 3 -1 +1.0 +0.5 1 42 1 -1 +1.0 +1.5 1 -1.77354871e-06 1.36394875e-23
sigma+ 187 3 -1 +3.0 -1.5 2 186 3 -1 +3.0 -0.5 2 1.77174387e-06 0.00000000e+00
sigma+ 63 3 1 +3.0 -1.5 2 62 3 1 +3.0 -0.5 2 1.77174387e-06 0.00000000e+00
sigma+ 159 3 1 +0.0 -1.5 2 149 3 1 +0.0 -0.5 1 -1.76723126e-06 0.00000000e+00
sigma+ 140 3 1 +1.0 -2.5 2 3 1 1 +1.0 -1.5 1 1.76662739e-06 1.46325152e-24
sigma+ 278 3 -1 +1.0 -2.5 2 45 1 -1 +1.0 -1.5 1 -1.76662736e-06 -1.83308468e-25
sigma+ 403 4 -1 +1.0 +0.5 2 109 2 -1 +1.0 +1.5 2 -5.01852946e-24 1.76389332e-06
sigma+ 331 4 1 +1.0 +0.5 2 41 2 1 +1.0 +1.5 2 1.21229674e-23 1.76389332e-06
sigma+ 395 4 -1 +1.0 -0.5 1 271 3 -1 +1.0 +0.5 1 2.53785654e-20 -1.75923210e-06
sigma+ 323 4 1 +1.0 -0.5 1 133 3 1 +1.0 +0.5 1 -2.84740041e-24 1.75923210e-06
sigma+ 343 4 -1 +3.0 -1.5 1 186 3 -1 +3.0 -0.5 2 -1.75897742e-06 0.00000000e+00
sigma+ 239 4 1 +3.0 -1.5 1 62 3 1 +3.0 -0.5 2 1.75897740e-06 0.00000000e+00
sigma+ 19 2 1 +2.0 +1.5 1 94 3 1 +2.0 +2.5 2 -1.75776086e-06 -5.51206566e-24
sigma+ 77 2 -1 +2.0 +1.5 1 226 3 -1 +2.0 +2.5 2 5.51206563e-24 -1.75776085e-06
sigma+ 347 4 -1 +3.0 -5.5 1 346 4 -1 +3.0 -4.5 1 -1.75753976e-06 0.00000000e+00
sigma+ 243 4 1 +3.0 -5.5 1 242 4 1 +3.0 -4.5 1 -1.75753971e-06 0.00000000e+00
sigma+ 183 3 -1 +3.0 +2.5 2 338 4 -1 +3.0 +3.5 1 1.75601195e-06 0.00000000e+00
sigma+ 59 3 1 +3.0 +2.5 2 234 4 1 +3.0 +3.5 1 -1.75601194e-06 0.00000000e+00
sigma+ 164 3 1 +0.0 +0.5 3 171 3 1 +0.0 +1.5 4 -1.75320952e-06 0.00000000e+00
sigma+ 223 3 -1 +2.0 -1.5 1 79 2 -1 +2.0 -0.5 1 1.53449623e-23 -1.75070633e-06
sigma+ 91 3 1 +2.0 -1.5 1 21 2 1 +2.0 -0.5 1 1.48255568e-23 -1.75070632e-06
sigma+ 121 2 -1 +0.0 -0.5 2 433 4 -1 +0.0 +0.5 3 -1.74831686e-06 0.00000000e+00
sigma+ 258 4 1 +3.0 -0.5 3 74 3 1 +3.0 +0.5 4 1.74755535e-06 0.00000000e+00
sigma+ 362 4 -1 +3.0 -0.5 3 198 3 -1 +3.0 +0.5 4 1.74755524e-06 0.00000000e+00
sigma+ 129 2 -1 +0.0 +0.5 4 124 2 -1 +0.0 +1.5 3 1.74751137e-06 0.00000000e+00
sigma+ 157 3 1 +0.0 +0.5 2 12 1 1 +0.0 +1.5 2 -1.74352516e-06 0.00000000e+00
sigma+ 11 1 1 +0.0 -2.5 1 159 3 1 +0.0 -1.5 2 1.74257625e-06 0.00000000e+00
sigma+ 37 2 1 +1.0 -2.5 1 36 2 1 +1.0 -1.5 1 1.74179969e-06 3.33772786e-24
sigma+ 105 2 -1 +1.0 -2.5 1 104 2 -1 +1.0 -1.5 1 1.74179968e-06 6.39833011e-24
sigma+ 366 4 -1 +3.0 -2.5 4 367 4 -1 +3.0 -1.5 4 -1.73898100e-06 0.00000000e+00
sigma+ 262 4 1 +3.0 -2.5 4 263 4 1 +3.0 -1.5 4 1.73898098e-06 0.00000000e+00
sigma+ 68 3 1 +3.0 +0.5 3 266 4 1 +3.0 +1.5 4 -1.73468724e-06 0.00000000e+00
sigma+ 192 3 -1 +3.0 +0.5 3 370 4 -1 +3.0 +1.5 4 1.73468723e-06 0.00000000e+00
sigma+ 184 3 -1 +3.0 +1.5 2 339 4 -1 +3.0 +2.5 1 1.73329533e-06 0.00000000e+00
sigma+ 60 3 1 +3.0 +1.5 2 235 4 1 +3.0 +2.5 1 1.73329532e-06 0.00000000e+00
sigma+ 210 4 1 +4.0 +3.5 2 200 4 1 +4.0 +4.5 1 -1.72827103e-06 1.42074894e-24
sigma+ 292 4 -1 +4.0 +3.5 2 282 4 -1 +4.0 +4.5 1 -6.58999896e-24 -1.72827102e-06
sigma+ 192 3 -1 +3.0 +0.5 3 191 3 -1 +3.0 +1.5 3 1.72765284e-06 0.00000000e+00
sigma+ 68 3 1 +3.0 +0.5 3 67 3 1 +3.0 +1.5 3 1.72765282e-06 0.00000000e+00
sigma+ 9 1 1 +0.0 -0.5 1 13 1 1 +0.0 +0.5 2 1.72525094e-06 0.00000000e+00
sigma+ 127 2 -1 +0.0 -1.5 3 434 4 -1 +0.0 -0.5 3 1.72080979e-06 0.00000000e+00
sigma+ 429 4 -1 +0.0 -4.5 2 428 4 -1 +0.0 -3.5 2 -1.72032998e-06 0.00000000e+00
sigma+ 192 3 -1 +3.0 +0.5 3 360 4 -1 +3.0 +1.5 3 -1.71577537e-06 0.00000000e+00
sigma+ 68 3 1 +3.0 +0.5 3 256 4 1 +3.0 +1.5 3 1.71577537e-06 0.00000000e+00
sigma+ 406 4 -1 +1.0 -2.5 2 405 4 -1 +1.0 -1.5 2 -7.75601011e-24 1.71033311e-06
sigma+ 334 4 1 +1.0 -2.5 2 333 4 1 +1.0 -1.5 2 1.71033310e-06 5.26386134e-24
sigma+ 115 2 -1 +0.0 -1.5 1 425 4 -1 +0.0 -0.5 2 -1.70953744e-06 0.00000000e+00
sigma+ 116 2 -1 +0.0 -2.5 1 415 4 -1 +0.0 -1.5 1 -1.70880503e-06 0.00000000e+00
sigma+ 263 4 1 +3.0 -1.5 4 73 3 1 +3.0 -0.5 4 -1.70317884e-06 0.00000000e+00
sigma+ 367 4 -1 +3.0 -1.5 4 197 3 -1 +3.0 -0.5 4 -1.70317881e-06 0.00000000e+00
sigma+ 219 3 -1 +2.0 +2.5 1 373 4 -1 +2.0 +3.5 1 1.69786512e-06 -2.18929005e-24
sigma+ 87 3 1 +2.0 +2.5 1 301 4 1 +2.0 +3.5 1 2.33174442e-24 1.69786511e-06
sigma+ 241 4 1 +3.0 -3.5 1 240 4 1 +3.0 -2.5 1 1.69119991e-06 0.00000000e+00
sigma+ 345 4 -1 +3.0 -3.5 1 344 4 -1 +3.0 -2.5 1 1.69119990e-06 0.00000000e+00
sigma+ 433 4 -1 +0.0 +0.5 3 124 2 -1 +0.0 +1.5 3 1.68467124e-06 0.00000000e+00
sigma+ 432 4 -1 +0.0 +1.5 3 118 2 -1 +0.0 +2.5 2 1.68396912e-06 0.00000000e+00
sigma+ 148 3 1 +0.0 +0.5 1 156 3 1 +0.0 +1.5 2 -1.68209084e-06 0.00000000e+00
sigma+ 376 4 -1 +2.0 +0.5 1 77 2 -1 +2.0 +1.5 1 -1.68090587e-06 7.19539055e-24
sigma+ 304 4 1 +2.0 +0.5 1 19 2 1 +2.0 +1.5 1 1.68090587e-06 -7.19539054e-24
sigma+ 228 3 -1 +2.0 +0.5 2 384 4 -1 +2.0 +1.5 2 -1.67621420e-06 5.35118023e-24
sigma+ 96 3 1 +2.0 +0.5 2 312 4 1 +2.0 +1.5 2 1.67621419e-06 -3.26393517e-18
sigma+ 425 4 -1 +0.0 -0.5 2 113 2 -1 +0.0 +0.5 1 1.67038952e-06 0.00000000e+00
sigma+ 421 4 -1 +0.0 +3.5 2 420 4 -1 +0.0 +4.5 2 1.66400851e-06 0.00000000e+00
sigma+ 423 4 -1 +0.0 +1.5 2 111 2 -1 +0.0 +2.5 1 -1.66217978e-06 0.00000000e+00
sigma+ 354 4 -1 +3.0 -1.5 2 186 3 -1 +3.0 -0.5 2 1.66027418e-06 0.00000000e+00
sigma+ 250 4 1 +3.0 -1.5 2 62 3 1 +3.0 -0.5 2 1.66027412e-06 0.00000000e+00
sigma+ 355 4 -1 +3.0 -2.5 2 178 3 -1 +3.0 -1.5 1 -1.65823089e-06 0.00000000e+00
sigma+ 251 4 1 +3.0 -2.5 2 54 3 1 +3.0 -1.5 1 1.65823088e-06 0.00000000e+00
sigma+ 123 2 -1 +0.0 -2.5 2 115 2 -1 +0.0 -1.5 1 -1.65585292e-06 0.00000000e+00
sigma+ 416 4 -1 +0.0 -2.5 1 415 4 -1 +0.0 -1.5 1 1.65532069e-06 0.00000000e+00
sigma+ 79 2 -1 +2.0 -0.5 1 84 2 -1 +2.0 +0.5 2 -1.64916278e-06 -1.48524393e-24
