Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 89 3 1 +2.0 +0.5 1 19 2 1 +2.0 +1.5 1 3.79503944e-24 4.21163659e-06
sigma+ 221 3 -1 +2.0 +0.5 1 77 2 -1 +2.0 +1.5 1 4.21163658e-06 -2.24911210e-23
sigma+ 40 2 1 +1.0 +0.5 2 330 4 1 +1.0 +1.5 2 4.20713804e-06 -2.68685319e-23
sigma+ 108 2 -1 +1.0 +0.5 2 402 4 -1 +1.0 +1.5 2 6.82541935e-24 -4.20713804e-06
sigma+ 173 3 -1 +3.0 +3.5 1 172 3 -1 +3.0 +4.5 1 4.19962673e-06 0.00000000e+00
sigma+ 49 3 1 +3.0 +3.5 1 48 3 1 +3.0 +4.5 1 4.19962671e-06 0.00000000e+00
sigma+ 75 3 1 +3.0 +1.5 4 267 4 1 +3.0 +2.5 4 -4.18792877e-06 0.00000000e+00
sigma+ 199 3 -1 +3.0 +1.5 4 371 4 -1 +3.0 +2.5 4 -4.18792875e-06 0.00000000e+00
sigma+ 6 1 1 +0.0 +2.5 1 145 3 1 +0.0 +3.5 1 -4.17414381e-06 0.00000000e+00
sigma+ 317 4 1 +2.0 -3.5 2 97 3 1 +2.0 -2.5 2 -4.17287601e-06 -1.07774160e-24
sigma+ 389 4 -1 +2.0 -3.5 2 229 3 -1 +2.0 -2.5 2 -4.17287598e-06 -1.07774166e-24
sigma+ 334 4 1 +1.0 -2.5 2 38 2 1 +1.0 -1.5 2 7.36037961e-24 -4.17221626e-06
sigma+ 406 4 -1 +1.0 -2.5 2 106 2 -1 +1.0 -1.5 2 -4.17221626e-06 -1.33525203e-23
sigma+ 289 4 -1 +4.0 -2.5 1 288 4 -1 +4.0 -1.5 1 -4.15350312e-06 -6.11059086e-24
sigma+ 207 4 1 +4.0 -2.5 1 206 4 1 +4.0 -1.5 1 4.97237707e-24 4.15350312e-06
sigma+ 285 4 -1 +4.0 +1.5 1 284 4 -1 +4.0 +2.5 1 1.76918689e-23 4.15032455e-06
sigma+ 203 4 1 +4.0 +1.5 1 202 4 1 +4.0 +2.5 1 4.15032454e-06 -5.04873760e-24
sigma+ 80 2 -1 +2.0 -1.5 1 222 3 -1 +2.0 -0.5 1 -4.13536935e-06 3.68010292e-24
sigma+ 22 2 1 +2.0 -1.5 1 90 3 1 +2.0 -0.5 1 4.13536934e-06 -1.63739732e-23
sigma+ 41 2 1 +1.0 +1.5 2 329 4 1 +1.0 +2.5 2 -1.38429667e-23 4.13033691e-06
sigma+ 109 2 -1 +1.0 +1.5 2 401 4 -1 +1.0 +2.5 2 4.13033691e-06 -1.60627983e-23
sigma+ 427 4 -1 +0.0 -2.5 2 122 2 -1 +0.0 -1.5 2 -4.09063240e-06 0.00000000e+00
sigma+ 405 4 -1 +1.0 -1.5 2 107 2 -1 +1.0 -0.5 2 -4.07460097e-06 1.77117528e-23
sigma+ 333 4 1 +1.0 -1.5 2 39 2 1 +1.0 -0.5 2 -2.42481054e-23 -4.07460097e-06
sigma+ 115 2 -1 +0.0 -1.5 1 30 0 -1 +0.0 -0.5 1 -4.05596225e-06 0.00000000e+00
sigma+ 357 4 -1 +3.0 -4.5 2 189 3 -1 +3.0 -3.5 2 4.04245634e-06 0.00000000e+00
sigma+ 253 4 1 +3.0 -4.5 2 65 3 1 +3.0 -3.5 2 4.04245627e-06 0.00000000e+00
sigma+ 113 2 -1 +0.0 +0.5 1 412 4 -1 +0.0 +1.5 1 4.03604235e-06 0.00000000e+00
sigma+ 50 3 1 +3.0 +2.5 1 49 3 1 +3.0 +3.5 1 -4.02933137e-06 0.00000000e+00
sigma+ 174 3 -1 +3.0 +2.5 1 173 3 -1 +3.0 +3.5 1 -4.02933137e-06 0.00000000e+00
sigma+ 180 3 -1 +3.0 -3.5 1 179 3 -1 +3.0 -2.5 1 -4.02626282e-06 0.00000000e+00
sigma+ 56 3 1 +3.0 -3.5 1 55 3 1 +3.0 -2.5 1 4.02626281e-06 0.00000000e+00
sigma+ 324 4 1 +1.0 -1.5 1 35 2 1 +1.0 -0.5 1 2.46879605e-23 4.02625763e-06
sigma+ 396 4 -1 +1.0 -1.5 1 103 2 -1 +1.0 -0.5 1 -4.02625762e-06 1.49933356e-23
sigma+ 8 1 1 +0.0 +0.5 1 147 3 1 +0.0 +1.5 1 -4.02256547e-06 0.00000000e+00
sigma+ 24 2 1 +2.0 -1.5 2 98 3 1 +2.0 -0.5 2 -4.01836162e-06 1.42870228e-23
sigma+ 82 2 -1 +2.0 -1.5 2 230 3 -1 +2.0 -0.5 2 4.01836162e-06 -1.95231755e-24
sigma+ 124 2 -1 +0.0 +1.5 3 431 4 -1 +0.0 +2.5 3 3.99472560e-06 0.00000000e+00
sigma+ 125 2 -1 +0.0 +0.5 3 432 4 -1 +0.0 +1.5 3 3.96355207e-06 0.00000000e+00
sigma+ 190 3 -1 +3.0 +2.5 3 358 4 -1 +3.0 +3.5 3 -3.95960811e-06 0.00000000e+00
sigma+ 66 3 1 +3.0 +2.5 3 254 4 1 +3.0 +3.5 3 -3.95960809e-06 0.00000000e+00
sigma+ 102 2 -1 +1.0 +0.5 1 393 4 -1 +1.0 +1.5 1 2.73428654e-24 -3.95630916e-06
sigma+ 34 2 1 +1.0 +0.5 1 321 4 1 +1.0 +1.5 1 -3.95630916e-06 3.39763223e-23
sigma+ 198 3 -1 +3.0 +0.5 4 199 3 -1 +3.0 +1.5 4 3.95365288e-06 0.00000000e+00
sigma+ 74 3 1 +3.0 +0.5 4 75 3 1 +3.0 +1.5 4 3.95365287e-06 0.00000000e+00
sigma+ 110 2 -1 +0.0 +3.5 1 409 4 -1 +0.0 +4.5 1 -3.92845582e-06 0.00000000e+00
sigma+ 47 1 -1 +1.0 +0.5 2 277 3 -1 +1.0 +1.5 2 -1.45378610e-24 -3.91970690e-06
sigma+ 5 1 1 +1.0 +0.5 2 139 3 1 +1.0 +1.5 2 -1.93592962e-23 3.91970689e-06
sigma+ 100 2 -1 +1.0 +2.5 1 391 4 -1 +1.0 +3.5 1 -1.65336238e-23 3.90813375e-06
sigma+ 32 2 1 +1.0 +2.5 1 319 4 1 +1.0 +3.5 1 3.90813375e-06 -1.17628928e-23
sigma+ 21 2 1 +2.0 -0.5 1 89 3 1 +2.0 +0.5 1 -1.56839008e-24 -3.90729940e-06
sigma+ 79 2 -1 +2.0 -0.5 1 221 3 -1 +2.0 +0.5 1 3.90729940e-06 1.59780908e-23
sigma+ 128 2 -1 +0.0 -0.5 4 441 4 -1 +0.0 +0.5 4 3.90585044e-06 0.00000000e+00
sigma+ 98 3 1 +2.0 -0.5 2 26 2 1 +2.0 +0.5 2 2.78958559e-23 -3.90075803e-06
sigma+ 230 3 -1 +2.0 -0.5 2 84 2 -1 +2.0 +0.5 2 1.59221449e-23 -3.90075801e-06
sigma+ 439 4 -1 +0.0 -1.5 4 128 2 -1 +0.0 -0.5 4 3.89852959e-06 0.00000000e+00
sigma+ 96 3 1 +2.0 +0.5 2 27 2 1 +2.0 +1.5 2 8.08990506e-25 -3.89288812e-06
sigma+ 228 3 -1 +2.0 +0.5 2 85 2 -1 +2.0 +1.5 2 3.89288811e-06 -1.73177343e-23
sigma+ 178 3 -1 +3.0 -1.5 1 342 4 -1 +3.0 -0.5 1 3.89130099e-06 0.00000000e+00
sigma+ 54 3 1 +3.0 -1.5 1 238 4 1 +3.0 -0.5 1 -3.89130095e-06 0.00000000e+00
sigma+ 118 2 -1 +0.0 +2.5 2 421 4 -1 +0.0 +3.5 2 3.87509041e-06 0.00000000e+00
sigma+ 426 4 -1 +0.0 -1.5 2 121 2 -1 +0.0 -0.5 2 -3.86946300e-06 0.00000000e+00
sigma+ 29 0 -1 +0.0 +0.5 1 112 2 -1 +0.0 +1.5 1 -3.86352281e-06 0.00000000e+00
sigma+ 102 2 -1 +1.0 +0.5 1 42 1 -1 +1.0 +1.5 1 3.85909167e-06 0.00000000e+00
sigma+ 34 2 1 +1.0 +0.5 1 0 1 1 +1.0 +1.5 1 3.85909167e-06 -1.29236740e-23
sigma+ 120 2 -1 +0.0 +0.5 2 423 4 -1 +0.0 +1.5 2 -3.85662781e-06 0.00000000e+00
sigma+ 77 2 -1 +2.0 +1.5 1 76 2 -1 +2.0 +2.5 1 -3.85445521e-06 -1.55583151e-23
sigma+ 19 2 1 +2.0 +1.5 1 18 2 1 +2.0 +2.5 1 -3.85445521e-06 -1.55583151e-23
sigma+ 236 4 1 +3.0 +1.5 1 50 3 1 +3.0 +2.5 1 -3.84795806e-06 0.00000000e+00
sigma+ 340 4 -1 +3.0 +1.5 1 174 3 -1 +3.0 +2.5 1 -3.84795804e-06 0.00000000e+00
sigma+ 181 3 -1 +3.0 -4.5 1 180 3 -1 +3.0 -3.5 1 3.84002188e-06 0.00000000e+00
sigma+ 57 3 1 +3.0 -4.5 1 56 3 1 +3.0 -3.5 1 -3.84002187e-06 0.00000000e+00
sigma+ 237 4 1 +3.0 +0.5 1 51 3 1 +3.0 +1.5 1 -3.82422777e-06 0.00000000e+00
sigma+ 341 4 -1 +3.0 +0.5 1 175 3 -1 +3.0 +1.5 1 -3.82422775e-06 0.00000000e+00
sigma+ 152 3 1 +0.0 -3.5 1 11 1 1 +0.0 -2.5 1 3.81438598e-06 0.00000000e+00
sigma+ 123 2 -1 +0.0 -2.5 2 31 0 -1 +0.0 -1.5 1 -3.80794642e-06 0.00000000e+00
sigma+ 44 1 -1 +1.0 -0.5 1 102 2 -1 +1.0 +0.5 1 -1.29759201e-24 3.80618925e-06
sigma+ 2 1 1 +1.0 -0.5 1 34 2 1 +1.0 +0.5 1 1.11225479e-23 -3.80618924e-06
sigma+ 326 4 1 +1.0 -3.5 1 37 2 1 +1.0 -2.5 1 3.79037581e-06 1.37901119e-23
sigma+ 398 4 -1 +1.0 -3.5 1 105 2 -1 +1.0 -2.5 1 3.79037579e-06 7.12985530e-24
sigma+ 42 1 -1 +1.0 +1.5 1 269 3 -1 +1.0 +2.5 1 0.00000000e+00 -3.78868571e-06
sigma+ 0 1 1 +1.0 +1.5 1 131 3 1 +1.0 +2.5 1 2.63345761e-24 3.78868569e-06
sigma+ 39 2 1 +1.0 -0.5 2 5 1 1 +1.0 +0.5 2 -1.33748053e-23 3.78611991e-06
sigma+ 107 2 -1 +1.0 -0.5 2 47 1 -1 +1.0 +0.5 2 -3.78611989e-06 -4.83756432e-24
sigma+ 12 1 1 +0.0 +1.5 2 155 3 1 +0.0 +2.5 2 -3.78162834e-06 0.00000000e+00
sigma+ 97 3 1 +2.0 -2.5 2 24 2 1 +2.0 -1.5 2 -3.77835073e-06 -2.34233161e-40
